 Ano, Código da IES*,Nome da IES*, Sigla da IES*, Organização Acadêmica*, Categoria Administrativa, Sigla da UF, Nº de Cursos com CPC no triênio, Alfa (Proporção de Graduação), Conceito Médio de Graduação, Beta (Proporção de Mestrado - Equivalente), Conceito Médio de Mestrado, Gama (Proporção de Doutorandos – Equivalente), Conceito Médio do doutorado, IGC (Contínuo), IGC (Faixa),TX_OBS
2021,1190.0,FACULDADE INTEGRAL CANTAREIRA,F.I.C.,Faculdade,Privada sem fins lucrativos,SP,3.0,1.0,2.219,0.0,0.0,0.0,0.0,2.219,3,
2021,1191.0,INSTITUTO DE ENSINO SUPERIOR DE FORTALEZA,IESF,Faculdade,Privada sem fins lucrativos,CE,1.0,1.0,1.837,0.0,0.0,0.0,0.0,1.837,2,
2021,1192.0,FACULDADE DE CIÊNCIAS DA SAÚDE DE SÃO PAULO,FACIS,Faculdade,Privada com fins lucrativos,SP,1.0,,,,,,,,SC,Quantidade de matrículas igual a zero.
2021,1196.0,UNIVERSIDADE CESUMAR,UNICESUMAR,Universidade,Privada com fins lucrativos,PR,63.0,0.995,2.723,0.003,4.332,0.0,4.5,2.729,3,
2021,1198.0,FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ,FACET,Faculdade,Privada com fins lucrativos,PR,2.0,1.0,1.96,0.0,0.0,0.0,0.0,1.96,3,
2021,1201.0,FACULDADE DE ADMINISTRAÇÃO MILTON CAMPOS,FAMC,Faculdade,Privada sem fins lucrativos,MG,2.0,1.0,2.021,0.0,0.0,0.0,0.0,2.021,3,
2021,1202.0,FACULDADE SANTA RITA,FASAR,Faculdade,Privada com fins lucrativos,MG,11.0,1.0,2.474,0.0,0.0,0.0,0.0,2.474,3,
2021,1205.0,FACULDADE EDUCACIONAL DA LAPA,FAEL,Faculdade,Privada com fins lucrativos,PR,17.0,1.0,2.347,0.0,0.0,0.0,0.0,2.347,3,
2021,1208.0,FAL ESTÁCIO - FACULDADE ESTÁCIO DE NATAL,,Faculdade,Privada sem fins lucrativos,RN,5.0,1.0,2.452,0.0,0.0,0.0,0.0,2.452,3,
2021,1219.0,INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR,IIES,Faculdade,Privada com fins lucrativos,SP,7.0,1.0,1.983,0.0,0.0,0.0,0.0,1.983,3,
2021,1221.0,FACULDADE GAMMON,,Faculdade,Privada sem fins lucrativos,SP,2.0,1.0,1.987,0.0,0.0,0.0,0.0,1.987,3,
2021,1224.0,CENTRO UNIVERSITÁRIO DE JALES,UNIJALES,Centro Universitário,Privada sem fins lucrativos,SP,7.0,1.0,2.317,0.0,0.0,0.0,0.0,2.317,3,
2021,1225.0,CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,Centro Universitário,Privada com fins lucrativos,SP,14.0,1.0,2.914,0.0,0.0,0.0,0.0,2.914,3,
2021,1227.0,CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS,,Centro Universitário,Privada sem fins lucrativos,BA,9.0,1.0,2.623,0.0,0.0,0.0,0.0,2.623,3,
2021,1230.0,CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL,UNIPINHAL,Centro Universitário,Privada sem fins lucrativos,SP,14.0,1.0,2.288,0.0,0.0,0.0,0.0,2.288,3,
2021,1231.0,FACULDADE CNEC SANTO ÂNGELO,,Faculdade,Privada sem fins lucrativos,RS,6.0,1.0,2.525,0.0,0.0,0.0,0.0,2.525,3,
2021,1232.0,CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE,UNIANDRADE,Centro Universitário,Privada sem fins lucrativos,PR,24.0,0.952,2.871,0.034,4.5,0.012,4.5,2.949,4,
2021,1233.0,CENTRO UNIVERSITÁRIO UNIC,,Centro Universitário,Privada com fins lucrativos,MT,9.0,1.0,2.466,0.0,0.0,0.0,0.0,2.466,3,
2021,1237.0,CENTRO UNIVERSITÁRIO NOSSA SENHORA APARECIDA,UNIFANAP,Centro Universitário,Privada sem fins lucrativos,GO,8.0,1.0,2.916,0.0,0.0,0.0,0.0,2.916,3,
2021,1239.0,FACULDADE PADRÃO,PADRAO,Faculdade,Privada com fins lucrativos,GO,1.0,1.0,2.363,0.0,0.0,0.0,0.0,2.363,3,
2021,1240.0,FACULDADE DE ESTUDOS SOCIAIS DO ESPÍRITO SANTO,PIO XII,Faculdade,Privada sem fins lucrativos,ES,6.0,1.0,2.738,0.0,0.0,0.0,0.0,2.738,3,
2021,1243.0,Faculdade Doctum de Serra,DOCTUM,Faculdade,Privada sem fins lucrativos,ES,7.0,1.0,3.016,0.0,0.0,0.0,0.0,3.016,4,
2021,1244.0,Faculdade Brasileira Multivix Vitória,MULTIVIX VITÓRIA,Faculdade,Privada com fins lucrativos,ES,15.0,1.0,3.605,0.0,0.0,0.0,0.0,3.605,4,
2021,1245.0,Faculdade de Castelo - Multivix Castelo,Multivix Castelo,Faculdade,Privada com fins lucrativos,ES,3.0,1.0,3.969,0.0,0.0,0.0,0.0,3.969,5,
2021,1247.0,FACULDADE DE CIÊNCIAS CONTÁBEIS DE NOVA ANDRADINA - FACINAN,FACINAN,Faculdade,Privada sem fins lucrativos,MS,1.0,1.0,1.964,0.0,0.0,0.0,0.0,1.964,3,
