 Ano, Código da IES*,Nome da IES*, Sigla da IES*, Organização Acadêmica*, Categoria Administrativa, Sigla da UF, Nº de Cursos com CPC no triênio, Alfa (Proporção de Graduação), Conceito Médio de Graduação, Beta (Proporção de Mestrado - Equivalente), Conceito Médio de Mestrado, Gama (Proporção de Doutorandos – Equivalente), Conceito Médio do doutorado, IGC (Contínuo), IGC (Faixa),TX_OBS
2021,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,MT,80.0,0.78,3.019,0.134,4.272,0.084,4.668,3.328,4,
2021,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,DF,78.0,0.523,3.357,0.23,4.582,0.246,4.77,3.988,5,
2021,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,SE,84.0,0.78,3.213,0.126,4.262,0.093,4.648,3.48,4,
2021,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,AM,70.0,0.838,2.878,0.107,4.246,0.054,4.474,3.111,4,
2021,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,PI,76.0,0.806,2.866,0.12,4.317,0.072,4.64,3.17,4,
2021,6.0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Universidade,Pública Federal,MG,38.0,0.736,3.316,0.171,4.339,0.091,4.653,3.614,4,
2021,7.0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Universidade,Pública Federal,SP,54.0,0.475,3.43,0.215,4.533,0.308,4.768,4.081,5,
2021,8.0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade,Pública Federal,MG,59.0,0.526,3.508,0.208,4.669,0.264,4.892,4.116,5,
2021,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,PR,44.0,0.616,3.249,0.194,4.523,0.188,4.704,3.772,4,
2021,10.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Privada sem fins lucrativos,PR,71.0,0.804,3.311,0.092,4.737,0.102,4.874,3.604,4,
2021,11.0,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Universidade,Privada sem fins lucrativos,PE,29.0,0.875,2.655,0.066,4.34,0.058,4.644,2.883,3,
2021,12.0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Universidade,Pública Federal,RS,40.0,0.663,3.101,0.187,4.411,0.148,4.737,3.59,4,
2021,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Privada sem fins lucrativos,RS,100.0,0.901,2.947,0.06,4.546,0.037,4.701,3.11,4,
2021,14.0,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Universidade,Privada sem fins lucrativos,RS,69.0,0.721,3.298,0.131,4.682,0.146,4.867,3.711,4,
2021,15.0,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Universidade,Privada sem fins lucrativos,RJ,24.0,0.902,2.971,0.083,4.22,0.013,4.0,3.09,4,
2021,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Universidade,Pública Federal,MG,71.0,0.637,3.214,0.183,4.506,0.178,4.858,3.744,4,
2021,18.0,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Universidade,Privada sem fins lucrativos,RS,22.0,0.902,2.522,0.05,4.226,0.046,4.5,2.7,3,
2021,19.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Universidade,Privada sem fins lucrativos,SP,45.0,0.942,2.766,0.035,4.358,0.021,4.842,2.867,3,
2021,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Universidade,Privada sem fins lucrativos,RS,74.0,0.842,2.654,0.099,4.456,0.058,4.661,2.95,4,
2021,21.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Universidade,Privada sem fins lucrativos,RS,45.0,0.652,3.163,0.155,4.969,0.192,4.975,3.792,4,
2021,22.0,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Universidade,Privada sem fins lucrativos,SP,44.0,0.888,3.122,0.057,4.748,0.054,4.876,3.31,4,
2021,23.0,UNIVERSIDADE FEEVALE,FEEVALE,Universidade,Privada sem fins lucrativos,RS,38.0,0.893,3.047,0.064,4.673,0.041,4.968,3.232,4,
2021,24.0,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Universidade,Pública Estadual,BA,32.0,0.69,2.932,0.177,4.449,0.131,4.825,3.45,4,
2021,27.0,UNIVERSIDADE VALE DO RIO VERDE,UNINCOR,Universidade,Privada sem fins lucrativos,MG,21.0,0.983,2.713,0.016,4.0,0.0,0.0,2.734,3,
2021,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Universidade,Pública Estadual,CE,68.0,0.68,2.881,0.18,4.406,0.138,4.785,3.42,4,
2021,30.0,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Universidade,Privada sem fins lucrativos,MG,26.0,0.965,3.363,0.02,4.186,0.013,4.408,3.394,4,
2021,32.0,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Universidade,Pública Estadual,AL,9.0,0.961,2.697,0.038,4.0,0.0,0.0,2.747,3,
2021,33.0,FACULDADE DE TECNOLOGIA DE SOROCABA,FATEC SO,Faculdade,Pública Estadual,SP,2.0,1.0,2.985,0.0,0.0,0.0,0.0,2.985,4,
2021,34.0,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,Faculdade,Pública Estadual,SP,2.0,1.0,2.783,0.0,0.0,0.0,0.0,2.783,3,
2021,35.0,FACULDADE DE TECNOLOGIA DE AMERICANA,FATEC-AM,Faculdade,Pública Estadual,SP,3.0,1.0,2.712,0.0,0.0,0.0,0.0,2.712,3,
2021,36.0,FACULDADE DE TECNOLOGIA RUBENS LARA,FATEC-BS,Faculdade,Pública Estadual,SP,3.0,1.0,2.687,0.0,0.0,0.0,0.0,2.687,3,
2021,37.0,FACULDADE DE TECNOLOGIA DE JAHU,FATEC-JAHU,Faculdade,Pública Estadual,SP,2.0,1.0,2.352,0.0,0.0,0.0,0.0,2.352,3,
2021,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Universidade,Pública Estadual,BA,113.0,0.863,2.904,0.1,4.388,0.035,4.732,3.118,4,
2021,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Universidade,Pública Estadual,SC,39.0,0.675,3.214,0.179,4.392,0.145,4.695,3.64,4,
2021,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Universidade,Pública Estadual,GO,132.0,0.94,2.472,0.051,4.231,0.007,4.5,2.578,3,
2021,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Universidade,Pública Estadual,SP,64.0,0.292,3.519,0.263,4.824,0.443,4.9,4.476,5,
2021,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,SP,137.0,0.454,3.383,0.247,4.73,0.297,4.875,4.161,5,
2021,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Universidade,Pública Estadual,PR,65.0,0.617,3.141,0.18,4.538,0.201,4.812,3.73,4,
2021,58.0,FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO,FDSBC,Faculdade,Especial,SP,1.0,1.0,2.6,0.0,0.0,0.0,0.0,2.6,3,
2021,59.0,FACULDADE DE DIREITO DE FRANCA,FDF,Faculdade,Pública Municipal,SP,1.0,1.0,2.803,0.0,0.0,0.0,0.0,2.803,3,
2021,60.0,CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA,UNI-FACEF,Centro Universitário,Especial,SP,8.0,0.954,2.823,0.045,4.0,0.0,0.0,2.876,3,
2021,67.0,ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,Faculdade,Pública Municipal,SP,7.0,1.0,2.482,0.0,0.0,0.0,0.0,2.482,3,
2021,68.0,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS,FAFIPE,Faculdade,Privada sem fins lucrativos,SP,5.0,1.0,2.718,0.0,0.0,0.0,0.0,2.718,3,
2021,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Universidade,Pública Estadual,RN,55.0,0.845,2.79,0.12,4.107,0.033,4.5,3.007,4,
2021,72.0,FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL,FAMASUL,Faculdade,Pública Municipal,PE,5.0,1.0,1.612,0.0,0.0,0.0,0.0,1.612,2,
2021,73.0,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,Faculdade,Pública Municipal,PE,7.0,1.0,1.442,0.0,0.0,0.0,0.0,1.442,2,
2021,74.0,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,FFCL,Faculdade,Pública Municipal,SP,4.0,1.0,1.249,0.0,0.0,0.0,0.0,1.249,2,
2021,76.0,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Universidade,Pública Municipal,SC,44.0,0.849,2.845,0.093,4.488,0.056,4.856,3.112,4,
2021,77.0,FACULDADE DA REGIÃO DOS LAGOS,FERLAGOS,Faculdade,Privada sem fins lucrativos,RJ,2.0,1.0,1.965,0.0,0.0,0.0,0.0,1.965,3,
2021,78.0,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,FAFIA,Faculdade,Pública Municipal,ES,1.0,1.0,2.083,0.0,0.0,0.0,0.0,2.083,3,
2021,79.0,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,IMES CATANDUVA,Faculdade,Pública Municipal,SP,6.0,1.0,2.079,0.0,0.0,0.0,0.0,2.079,3,
2021,80.0,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,Centro Universitário,Privada sem fins lucrativos,SC,12.0,1.0,3.282,0.0,0.0,0.0,0.0,3.282,4,
2021,81.0,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Universidade,Privada sem fins lucrativos,SC,34.0,0.911,2.696,0.068,4.416,0.02,4.5,2.85,3,
2021,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Universidade,Privada sem fins lucrativos,SC,83.0,0.955,3.015,0.031,4.364,0.012,4.5,3.077,4,
2021,83.0,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Universidade,Privada sem fins lucrativos,SC,54.0,0.852,2.895,0.072,4.571,0.075,4.967,3.172,4,
2021,87.0,CENTRO UNIVERSITÁRIO DE BRUSQUE,UNIFEBE,Centro Universitário,Privada sem fins lucrativos,SC,15.0,1.0,2.793,0.0,0.0,0.0,0.0,2.793,3,
2021,93.0,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,Faculdade,Pública Municipal,SP,1.0,0.808,3.083,0.096,4.5,0.094,4.5,3.354,4,
2021,95.0,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Universidade,Pública Estadual,CE,25.0,0.978,2.567,0.019,4.084,0.001,4.5,2.6,3,
2021,99.0,FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE,FDCL,Faculdade,Privada sem fins lucrativos,MG,1.0,1.0,1.852,0.0,0.0,0.0,0.0,1.852,2,
2021,107.0,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Universidade,Pública Federal,MG,41.0,0.825,3.309,0.135,4.247,0.038,4.595,3.486,4,
2021,109.0,FACULDADES INTEGRADAS RUI BARBOSA,FIRB,Faculdade,Privada sem fins lucrativos,SP,6.0,1.0,2.394,0.0,0.0,0.0,0.0,2.394,3,
2021,124.0,UNIVERSIDADE DE ARARAQUARA,UNIARA,Universidade,Privada sem fins lucrativos,SP,31.0,0.935,2.533,0.042,4.327,0.022,4.5,2.653,3,
2021,125.0,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Centro Universitário,Privada sem fins lucrativos,SP,22.0,1.0,2.277,0.0,0.0,0.0,0.0,2.277,3,
2021,126.0,INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,Faculdade,Privada sem fins lucrativos,MG,2.0,0.827,3.208,0.116,4.5,0.055,4.5,3.431,4,
2021,135.0,CLARETIANO +C66:F1946- CENTRO UNIVERSITÁRIO ,CLARETIANOBT,Centro Universitário,Privada sem fins lucrativos,SP,41.0,1.0,2.881,0.0,0.0,0.0,0.0,2.881,3,
2021,137.0,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,UNISAGRADO,Centro Universitário,Privada sem fins lucrativos,SP,29.0,1.0,3.322,0.0,0.0,0.0,0.0,3.322,4,
2021,138.0,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Centro Universitário,Privada sem fins lucrativos,SP,26.0,1.0,2.814,0.0,0.0,0.0,0.0,2.814,3,
2021,139.0,FACULDADE UNIBRASÍLIA DE CIÊNCIAS ECONÔMICAS DE MINAS GERAIS,BRASÍLIA,Faculdade,Privada sem fins lucrativos,MG,2.0,1.0,2.451,0.0,0.0,0.0,0.0,2.451,3,
2021,140.0,UNIVERSIDADE DE VASSOURAS,,Universidade,Privada sem fins lucrativos,RJ,11.0,0.975,3.152,0.024,4.0,0.0,0.0,3.173,4,
2021,141.0,FACULDADE DE DIREITO DE VARGINHA - FADIVA,FADIVA,Faculdade,Privada sem fins lucrativos,MG,1.0,1.0,2.182,0.0,0.0,0.0,0.0,2.182,3,
2021,142.0,CENTRO UNIVERSITÁRIO DO TRIÂNGULO,UNITRI,Centro Universitário,Privada sem fins lucrativos,MG,18.0,1.0,2.192,0.0,0.0,0.0,0.0,2.192,3,
2021,143.0,UNIVERSIDADE DE UBERABA,UNIUBE,Universidade,Privada sem fins lucrativos,MG,58.0,0.984,2.532,0.01,4.204,0.005,4.5,2.56,3,
2021,144.0,FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA,FACHO,Faculdade,Privada sem fins lucrativos,PE,6.0,1.0,2.665,0.0,0.0,0.0,0.0,2.665,3,
2021,146.0,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,Centro Universitário,Privada com fins lucrativos,SP,36.0,1.0,2.448,0.0,0.0,0.0,0.0,2.448,3,
2021,149.0,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,Faculdade,Pública Estadual,SP,2.0,0.557,3.678,0.284,4.22,0.157,4.5,3.962,5,
2021,150.0,UNIVERSIDADE DE SOROCABA,UNISO,Universidade,Privada sem fins lucrativos,SP,46.0,0.945,2.676,0.03,4.5,0.023,4.5,2.775,3,
2021,151.0,ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO - FGV EAESP,FGV-EAESP,Faculdade,Privada sem fins lucrativos,SP,2.0,0.427,3.09,0.355,4.612,0.216,5.0,4.045,5,
2021,152.0,FACULDADE DE CIÊNCIAS CONTÁBEIS,FACIC,Faculdade,Privada sem fins lucrativos,BA,1.0,1.0,2.409,0.0,0.0,0.0,0.0,2.409,3,
2021,158.0,CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO BRASILEIRO DE EDUCAÇÃO,CBM-UniCBE,Centro Universitário,Privada sem fins lucrativos,RJ,16.0,1.0,1.89,0.0,0.0,0.0,0.0,1.89,2,
2021,159.0,FACULDADE NOVA ROMA CARUARU,FNR CARUARU,Faculdade,Privada com fins lucrativos,PE,3.0,1.0,2.13,0.0,0.0,0.0,0.0,2.13,3,
2021,160.0,FACULDADE FRASSINETTI DO RECIFE,FAFIRE,Faculdade,Privada sem fins lucrativos,PE,12.0,1.0,2.622,0.0,0.0,0.0,0.0,2.622,3,
2021,161.0,CENTRO UNIVERSITÁRIO ASSUNÇÃO,UNIFAI,Centro Universitário,Privada sem fins lucrativos,SP,7.0,1.0,2.298,0.0,0.0,0.0,0.0,2.298,3,
2021,162.0,CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,FEBASP,Centro Universitário,Privada sem fins lucrativos,SP,4.0,0.984,2.739,0.015,4.0,0.0,0.0,2.758,3,
2021,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,RJ,324.0,0.992,2.704,0.004,4.707,0.002,4.776,2.72,3,
2021,165.0,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Universidade,Privada com fins lucrativos,RJ,75.0,0.983,3.022,0.009,4.42,0.006,4.5,3.045,4,
2021,166.0,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",,Faculdade,Privada sem fins lucrativos,MG,4.0,1.0,2.59,0.0,0.0,0.0,0.0,2.59,3,
2021,167.0,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,Universidade,Privada sem fins lucrativos,SP,43.0,0.939,2.481,0.028,4.819,0.032,4.794,2.622,3,
2021,170.0,FUNVIC - FACULDADE FUNVIC DE MOCOCA,,Faculdade,Privada sem fins lucrativos,SP,3.0,1.0,1.844,0.0,0.0,0.0,0.0,1.844,2,
2021,171.0,FACULDADE DE DIREITO DO SUL DE MINAS,FDSM,Faculdade,Privada sem fins lucrativos,MG,1.0,0.878,3.143,0.121,4.5,0.0,0.0,3.308,4,
2021,176.0,UNIVERSIDADE CASTELO BRANCO,UCB,Universidade,Privada sem fins lucrativos,RJ,40.0,1.0,2.503,0.0,0.0,0.0,0.0,2.503,3,
2021,190.0,ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES,EMSM,Faculdade,Privada sem fins lucrativos,RJ,1.0,1.0,2.582,0.0,0.0,0.0,0.0,2.582,3,
2021,191.0,FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DE EMPRESAS,FCCAE,Faculdade,Privada sem fins lucrativos,RJ,2.0,1.0,2.772,0.0,0.0,0.0,0.0,2.772,3,
2021,192.0,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES,FFCLSM,Faculdade,Privada sem fins lucrativos,RJ,8.0,1.0,2.539,0.0,0.0,0.0,0.0,2.539,3,
2021,193.0,FACULDADE DE ENGENHARIA SOUZA MARQUES,FESM,Faculdade,Privada sem fins lucrativos,RJ,2.0,1.0,2.508,0.0,0.0,0.0,0.0,2.508,3,
2021,194.0,ESCOLA DE ENFERMAGEM DA FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES,EEFTESM,Faculdade,Privada sem fins lucrativos,RJ,1.0,1.0,2.663,0.0,0.0,0.0,0.0,2.663,3,
2021,195.0,FACULDADE PRESBITERIANA MACKENZIE RIO,,Faculdade,Privada sem fins lucrativos,RJ,4.0,1.0,3.196,0.0,0.0,0.0,0.0,3.196,4,
2021,197.0,FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ,FESPPR,Faculdade,Privada sem fins lucrativos,PR,4.0,1.0,2.304,0.0,0.0,0.0,0.0,2.304,3,
2021,200.0,FACULDADE CÁSPER LÍBERO,FCL,Faculdade,Privada sem fins lucrativos,SP,2.0,0.931,2.731,0.068,4.5,0.0,0.0,2.851,3,
2021,202.0,FACULDADE DO RIO DE JANEIRO,,Faculdade,Privada com fins lucrativos,RJ,1.0,1.0,1.521,0.0,0.0,0.0,0.0,1.521,2,
2021,203.0,UNIVERSIDADE SÃO JUDAS TADEU,USJT,Universidade,Privada com fins lucrativos,SP,52.0,0.981,3.272,0.014,4.429,0.004,4.5,3.295,4,
2021,206.0,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,Centro Universitário,Privada sem fins lucrativos,SP,21.0,1.0,2.482,0.0,0.0,0.0,0.0,2.482,3,
2021,207.0,CENTRO UNIVERSITÁRIO MOURA LACERDA,CUML,Centro Universitário,Privada sem fins lucrativos,SP,21.0,1.0,2.831,0.0,0.0,0.0,0.0,2.831,3,
2021,208.0,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,Universidade,Privada sem fins lucrativos,SP,31.0,0.936,3.192,0.036,4.39,0.026,4.561,3.272,4,
2021,213.0,CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,Centro Universitário,Privada sem fins lucrativos,SP,6.0,0.942,3.459,0.057,4.26,0.0,0.0,3.504,4,
2021,214.0,FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG,FEAMIG,Faculdade,Privada sem fins lucrativos,MG,2.0,1.0,2.361,0.0,0.0,0.0,0.0,2.361,3,
2021,216.0,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX,CEUNIH,Centro Universitário,Privada sem fins lucrativos,MG,18.0,1.0,2.601,0.0,0.0,0.0,0.0,2.601,3,
2021,217.0,CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE,UNIFAE,Centro Universitário,Especial,SP,6.0,1.0,3.023,0.0,0.0,0.0,0.0,3.023,4,
2021,219.0,FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL,FAECA DOM BOSCO,Faculdade,Privada sem fins lucrativos,SP,5.0,1.0,2.381,0.0,0.0,0.0,0.0,2.381,3,
2021,220.0,FACULDADE SÃO JUDAS TADEU,FSJT,Faculdade,Privada sem fins lucrativos,RJ,4.0,1.0,2.481,0.0,0.0,0.0,0.0,2.481,3,
2021,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,Universidade,Privada com fins lucrativos,SP,101.0,0.99,2.9,0.005,4.793,0.004,4.791,2.919,3,
2021,222.0,CENTRO UNIVERSITÁRIO DE VOTUPORANGA,UNIFEV,Centro Universitário,Privada sem fins lucrativos,SP,24.0,1.0,2.746,0.0,0.0,0.0,0.0,2.746,3,
2021,224.0,Centro Universitário FFFMABC,FMABC,Centro Universitário,Privada sem fins lucrativos,SP,8.0,0.888,3.018,0.057,4.0,0.054,4.0,3.128,4,
2021,225.0,FACULDADE DE SANTO ANDRÉ,,Faculdade,Privada sem fins lucrativos,SP,4.0,1.0,2.185,0.0,0.0,0.0,0.0,2.185,3,
2021,226.0,CENTRO UNIVERSITÁRIO LUSÍADA,UNILUS,Centro Universitário,Privada sem fins lucrativos,SP,7.0,1.0,2.811,0.0,0.0,0.0,0.0,2.811,3,
2021,227.0,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,Universidade,Privada sem fins lucrativos,SP,23.0,0.883,3.169,0.077,4.4,0.039,4.5,3.316,4,
2021,231.0,FACULDADE DE SÃO BERNARDO DO CAMPO - FASB,FASB I,Faculdade,Privada sem fins lucrativos,SP,7.0,1.0,2.482,0.0,0.0,0.0,0.0,2.482,3,
2021,234.0,FACULDADES OSWALDO CRUZ,FOC,Faculdade,Privada com fins lucrativos,SP,10.0,1.0,2.826,0.0,0.0,0.0,0.0,2.826,3,
2021,240.0,UNIVERSIDADE SANTA ÚRSULA,USU,Universidade,Privada sem fins lucrativos,RJ,10.0,0.959,2.472,0.04,4.0,0.0,0.0,2.534,3,
2021,242.0,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,,Centro Universitário,Privada com fins lucrativos,SP,17.0,1.0,1.956,0.0,0.0,0.0,0.0,1.956,3,
2021,243.0,FACULDADE DO CLUBE NÁUTICO MOGIANO,FCNM,Faculdade,Privada sem fins lucrativos,SP,3.0,1.0,2.921,0.0,0.0,0.0,0.0,2.921,3,
2021,244.0,CENTRO UNIVERSITÁRIO FIEO,UNIFIEO,Centro Universitário,Privada sem fins lucrativos,SP,13.0,0.873,1.667,0.081,4.208,0.044,4.5,2.002,3,
2021,254.0,CENTRO UNIVERSITÁRIO DE SÃO PAULO - UNI SÃO PAULO,,Centro Universitário,Privada com fins lucrativos,SP,3.0,1.0,2.451,0.0,0.0,0.0,0.0,2.451,3,
2021,263.0,FACULDADES INTEGRADAS CAMPOS SALLES,FICS,Faculdade,Privada sem fins lucrativos,SP,8.0,1.0,1.989,0.0,0.0,0.0,0.0,1.989,3,
2021,265.0,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,Unifio,Centro Universitário,Privada sem fins lucrativos,SP,14.0,1.0,3.128,0.0,0.0,0.0,0.0,3.128,4,
2021,266.0,UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,Universidade,Privada sem fins lucrativos,SP,31.0,0.942,2.745,0.023,4.643,0.033,4.698,2.855,3,
2021,267.0,CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA,,Centro Universitário,Privada sem fins lucrativos,ES,10.0,1.0,3.726,0.0,0.0,0.0,0.0,3.726,4,
2021,269.0,FACULDADE FACCAT,FACCAT,Faculdade,Privada com fins lucrativos,SP,6.0,1.0,1.567,0.0,0.0,0.0,0.0,1.567,2,
2021,270.0,FACULDADE DE TUPÃ,,Faculdade,Privada com fins lucrativos,SP,1.0,1.0,1.7,0.0,0.0,0.0,0.0,1.7,2,
2021,271.0,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Universidade,Privada sem fins lucrativos,SP,39.0,0.949,3.33,0.031,4.352,0.019,4.5,3.384,4,
2021,275.0,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Universidade,Privada sem fins lucrativos,SP,24.0,0.917,2.586,0.04,4.27,0.041,4.315,2.727,3,
2021,276.0,FACULDADE DE DIREITO DE SOROCABA,FADI,Faculdade,Privada sem fins lucrativos,SP,1.0,1.0,2.421,0.0,0.0,0.0,0.0,2.421,3,
2021,277.0,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,UNISUAM,Centro Universitário,Privada sem fins lucrativos,RJ,45.0,0.964,2.519,0.029,4.5,0.005,4.5,2.589,3,
2021,278.0,FACULDADES INTEGRADAS SIMONSEN,FIS,Faculdade,Privada sem fins lucrativos,RJ,11.0,1.0,2.242,0.0,0.0,0.0,0.0,2.242,3,
2021,279.0,FACULDADES INTEGRADAS HÉLIO ALONSO,FACHA,Faculdade,Privada sem fins lucrativos,RJ,7.0,1.0,2.295,0.0,0.0,0.0,0.0,2.295,3,
2021,284.0,FACULDADE DE MEDICINA DE ITAJUBÁ,FMIT,Faculdade,Privada sem fins lucrativos,MG,1.0,1.0,2.563,0.0,0.0,0.0,0.0,2.563,3,
2021,288.0,FACULDADE DE DIREITO DO VALE DO RIO DOCE,FADIVALE,Faculdade,Privada sem fins lucrativos,MG,1.0,1.0,2.28,0.0,0.0,0.0,0.0,2.28,3,
2021,294.0,FACULDADE TRÊS DE MAIO,SETREM,Faculdade,Privada sem fins lucrativos,RS,8.0,1.0,2.6,0.0,0.0,0.0,0.0,2.6,3,
2021,295.0,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,Universidade,Privada sem fins lucrativos,RS,49.0,0.86,3.078,0.071,4.65,0.068,4.708,3.301,4,
2021,296.0,Centro Universitário da Região da Campanha,,Centro Universitário,Privada sem fins lucrativos,RS,32.0,1.0,2.685,0.0,0.0,0.0,0.0,2.685,3,
2021,298.0,UNIVERSIDADE PITÁGORAS UNOPAR,,Universidade,Privada com fins lucrativos,PR,68.0,0.997,2.438,0.001,4.482,0.0,4.724,2.442,3,
2021,299.0,FACULDADE DE JANDAIA DO SUL,FAFIJAN,Faculdade,Privada sem fins lucrativos,PR,4.0,1.0,2.259,0.0,0.0,0.0,0.0,2.259,3,
